year,state,corridor,county,fatalities,truck_involved,truck_tractor_involved,land_use,roadway,latitude,longitude
2023,SC,I-26,CALHOUN (17),1,False,False,Rural,I-26,33.69096111,-80.910625000
2023,SC,I-95,DILLON (33),2,False,False,Rural,I-95,34.48708889,-79.332472220
2023,SC,I-26,SPARTANBURG (83),1,False,False,Urban,I-26,35.01268056,-82.031338890
2023,SC,I-26,LEXINGTON (63),1,False,False,Urban,I-26,33.94168611,-81.088555560
2023,SC,I-26,CHARLESTON (19),1,False,False,Urban,I-26,32.98975278,-80.084422220
2024,GA,I-95,CHATHAM (51),1,True,True,Urban,I-95,32.10489722,-81.237394440
2024,GA,I-95,GLYNN (127),1,False,False,Urban,I-95 NB,31.13266944,-81.578058330
2024,GA,I-95,CAMDEN (39),1,False,False,Urban,I-95,30.75790556,-81.652375000
2024,GA,I-95,GLYNN (127),1,False,False,Urban,I-95,31.28540278,-81.486419440
2024,GA,I-95,BRYAN (29),1,False,False,Rural,I-95,31.85470556,-81.341230560
2024,GA,I-95,MCINTOSH (191),1,True,True,Rural,I-95 SR-405,31.43071667,-81.443525000
2024,GA,I-95,LIBERTY (179),1,False,False,Rural,I-95 SB,31.77820556,-81.378811110
2024,GA,I-95,CHATHAM (51),1,False,False,Urban,I-95 NB,32.00772500,-81.280327780
2024,SC,I-26,LEXINGTON (63),1,False,False,Urban,I-26,34.04168889,-81.115102780
2024,SC,I-26,NEWBERRY (71),2,True,False,Rural,I-26,34.24778056,-81.479525000
2024,SC,I-26,BERKELEY (15),1,False,False,Urban,I-26,33.08413056,-80.210650000
2024,SC,I-26,CALHOUN (17),1,False,False,Rural,I-26,33.67898889,-80.902463890
2024,SC,I-26,BERKELEY (15),1,False,False,Urban,I-26,32.99905278,-80.094327780
2024,SC,I-26,SPARTANBURG (83),1,False,False,Urban,I-26,34.89391944,-82.157780560
2024,SC,I-95,JASPER (53),1,False,False,Urban,I-95,32.31726111,-81.059080560
2024,SC,I-95,SUMTER (85),1,True,False,Rural,I-95,33.95605278,-80.049411110
